  Frame #         RMSD         rGyr      intraHB        MolSA         SASA          PSA
        0        0.000        4.692            0      426.877      156.483      213.738
        1        0.293        4.623            0      421.659      192.417      214.922
        2        0.461        4.617            0      420.413      215.077      215.734
        3        0.371        4.636            0      423.171      205.918      212.274
        4        0.613        4.596            0      423.734      258.787      212.363
        5        0.423        4.639            0      425.013      263.246      212.700
        6        0.367        4.607            0      422.520      247.018      210.790
        7        0.360        4.638            0      423.585      254.101      208.185
        8        0.347        4.637            0      426.156      240.512      216.603
        9        0.477        4.657            0      428.155      244.418      215.518
       10        0.425        4.636            0      427.697      253.236      216.102
       11        0.296        4.709            0      427.375      236.365      217.487
       12        0.450        4.681            0      426.048      256.097      212.014
       13        0.350        4.657            0      426.385      223.499      209.283
       14        0.519        4.695            0      430.183      236.418      214.689
       15        0.520        4.593            0      425.796      251.354      220.285
       16        0.383        4.639            0      422.973      223.295      215.701
       17        0.594        4.624            0      422.716      231.119      212.898
       18        0.419        4.644            0      428.971      247.950      218.187
       19        0.443        4.657            0      425.514      245.579      216.974
       20        0.411        4.622            0      425.244      246.987      214.993
       21        0.386        4.636            0      425.954      242.766      214.383
       22        0.314        4.655            0      426.362      219.395      217.574
       23        0.515        4.610            0      423.562      259.785      213.041
       24        0.253        4.639            0      424.824      231.272      224.337
       25        0.396        4.665            0      425.870      234.192      210.694
       26        0.403        4.644            0      426.150      236.950      213.754
       27        0.290        4.586            0      420.343      242.479      209.908
       28        0.427        4.601            0      425.804      234.294      217.383
       29        0.436        4.652            0      422.719      237.894      217.923
       30        0.222        4.717            0      429.873      267.628      212.157
       31        0.363        4.608            0      422.305      254.533      213.061
       32        0.255        4.678            0      427.879      254.313      211.068
       33        0.337        4.659            0      427.507      250.631      212.886
       34        0.275        4.620            0      423.656      236.176      215.873
       35        0.243        4.628            0      423.768      221.073      215.813
       36        0.279        4.622            0      424.375      250.294      215.208
       37        0.565        4.654            0      426.619      250.525      213.157
       38        0.320        4.607            0      421.435      219.428      217.541
       39        0.274        4.638            0      425.351      225.017      218.397
       40        0.363        4.624            0      425.887      219.314      216.727
       41        0.308        4.633            0      424.361      216.819      216.094
       42        0.350        4.652            0      425.459      230.020      216.284
       43        0.651        4.646            0      426.660      241.664      213.396
       44        0.465        4.636            0      427.336      253.808      220.720
       45        0.489        4.607            0      424.441      251.508      217.428
       46        0.497        4.664            0      428.316      253.585      211.163
       47        0.322        4.648            0      424.369      227.907      209.960
       48        0.412        4.663            0      428.141      265.185      209.814
       49        0.242        4.654            0      426.321      243.601      213.051
       50        0.547        4.659            0      426.928      245.875      215.555
       51        0.560        4.671            0      426.141      264.047      213.257
       52        0.543        4.663            0      426.338      246.798      209.524
       53        0.631        4.525            0      419.386      246.757      215.453
       54        0.438        4.615            0      422.329      252.818      217.675
       55        0.505        4.586            0      423.352      227.743      217.799
       56        0.922        4.615            0      427.193      255.892      217.850
       57        0.697        4.566            0      421.882      234.969      208.618
       58        0.881        4.548            0      422.840      230.178      212.888
       59        0.737        4.594            0      428.833      220.232      212.240
       60        0.768        4.595            0      424.961      224.812      207.753
       61        0.706        4.594            0      422.700      223.315      215.073
       62        0.661        4.628            0      426.030      230.310      206.374
       63        0.553        4.674            0      424.211      197.501      208.889
       64        0.707        4.613            0      426.116      197.058      210.959
       65        0.492        4.689            0      430.372      202.982      208.942
       66        0.732        4.615            0      428.448      212.925      207.613
       67        0.511        4.644            0      425.464      184.929      211.574
       68        0.736        4.652            0      427.334      189.379      206.091
       69        0.874        4.524            0      423.476      213.146      209.121
       70        0.797        4.599            0      424.542      211.185      209.692
       71        0.867        4.504            0      422.388      228.329      209.506
       72        0.843        4.641            0      428.642      228.662      212.104
       73        0.592        4.646            0      422.846      250.321      212.768
       74        0.472        4.664            0      424.411      236.783      215.649
       75        0.503        4.714            0      429.203      258.289      215.209
       76        0.321        4.652            0      422.184      205.954      207.388
       77        0.507        4.650            0      424.513      218.908      209.295
       78        0.392        4.677            0      424.765      224.722      212.085
       79        0.478        4.637            0      423.735      218.761      211.190
       80        0.555        4.666            0      425.963      224.107      213.294
       81        0.418        4.639            0      426.840      234.166      209.816
       82        0.474        4.624            0      421.693      241.846      215.055
       83        0.533        4.611            0      425.887      226.883      217.669
       84        0.534        4.701            0      425.867      210.280      215.240
       85        0.603        4.647            0      427.656      202.707      215.110
       86        0.697        4.600            0      424.533      194.778      219.134
       87        0.673        4.576            0      426.579      213.450      222.710
       88        0.547        4.610            0      422.567      203.948      211.511
       89        0.694        4.707            0      428.457      205.030      207.693
