   # Atom# PDBResName  wrt_Protein   wrt_Ligand 
         1                   1.579        0.484
         2                   1.200        0.290
         3                   1.558        0.208
         4                   1.943        0.514
         5                   2.245        1.403
         6                   1.961        0.919
         7                   1.124        0.280
         8                   1.409        0.444
         9                   1.156        0.503
        10                   1.251        0.704
        11                   1.041        0.149
        12                   1.436        0.267
        13                   1.146        0.267
        14                   1.357        0.354
        15                   1.126        0.336
        16                   1.073        0.254
        17                   1.072        0.232
        18                   1.361        0.225
        19                   1.350        0.191
        20                   1.329        0.220
        21                   1.420        0.242
        22                   1.917        0.253
        23                   1.731        0.305
        24                   1.705        0.284
        25                   2.368        0.364
        26                   2.191        0.292
        27                   1.988        0.326
        28                   1.686        0.661
        29                   3.032        0.466
        30                   2.920        0.433
        31                   3.135        0.532
