## Torsion are defined with the following atomIDs:
# dihed1: ai= 5185 aj= 3156 ak= 3178 al= 3155
# dihed2: ai= 3156 aj= 3178 ak= 3153 al= 3169
# dihed3: ai= 3152 aj= 3167 ak= 3166 al= 3165
# dihed4: ai= 3170 aj= 3168 ak= 3172 al= 3175
# dihed5: ai= 3162 aj= 3161 ak= 3157 al= 3151
# Frame#   dihed1   dihed2   dihed3   dihed4   dihed5
0   94.401  161.577   49.872  150.598  -48.550
1   81.779  161.507   65.321  140.615  -57.571
2   77.351  170.035   74.202  139.978  -51.607
3   84.444  157.458   62.036  143.073  -54.365
4   72.922  170.660   68.648  138.218  -51.373
5   79.840  170.598   64.724  147.012  -54.396
6   80.509  158.716   60.691  149.629  -59.023
7   83.290  175.586   47.236  156.214  -53.307
8   91.990  160.981   58.596  135.184  -70.377
9   88.259  163.690   48.359  155.823  -54.093
10   91.221  151.769   69.688  149.773  -50.852
11   94.683  174.576   58.374  138.353  -67.302
12  114.655  165.637   62.326  153.132  -57.471
13   72.938  147.962   72.318  149.041  -56.390
14   74.146  160.189   65.887  139.190  -60.240
15   83.323  143.216   74.521  137.395  -72.217
16   84.009  152.662   60.385  134.351  -39.432
17   79.794  154.454   52.355  130.737  -60.258
18   59.708  153.527   60.642  144.625  -56.980
19   85.485  157.420   54.247  153.911  -55.461
20   82.024  154.452   69.927  143.241  -51.879
21   91.215  144.205   57.359  144.251  -62.323
22  103.743  151.813   37.128  151.237  -56.590
23   77.653  157.098   49.140  155.808  -63.031
24   85.880  167.281   62.177  131.981  -62.744
25   91.146  162.053   60.046  153.871  -57.852
26   92.190  150.468   72.452  150.254  -71.125
27  101.349  158.849   64.506  137.878  -55.234
28   95.174  159.913   79.261  121.367  -66.472
29  100.569  157.632   75.225  149.593  -47.710
30   88.719  161.862   53.987  152.335  -69.424
31  101.786  145.542   56.352  148.192  -65.133
32   97.147  145.649   60.069  146.018  -51.341
33  114.552  153.458   63.214  145.007  -51.804
34   97.601  149.080   69.621  140.159  -53.173
35   97.686  158.045   57.297  132.958  -64.479
36   86.945  156.025   71.776  139.010  -55.853
37  122.546  148.441   64.989  140.731  -66.905
38   83.752  150.174   64.731  135.845  -58.763
39   87.968  160.016   60.541  135.545  -48.515
40  105.823  155.068   80.370  138.742  -65.621
41  105.047  148.510   67.261  142.633  -52.739
42   96.708  153.170   55.582  150.176  -63.179
43   81.128  144.591   91.294  148.249  -61.325
44   88.363  151.975   73.872  144.420  -56.935
45   79.123  159.854   63.675  143.609  -47.502
46   80.831  160.521   64.536  150.257  -49.055
47   90.959  159.076   68.569  144.921  -61.032
48  106.885  147.590   60.728  151.652  -58.124
49  103.612  158.658   68.458  138.088  -56.736
50   79.556  157.135   88.631  138.936  -60.470
51  103.421  150.411   81.855  142.090  -55.912
52   77.806  152.443   86.095  143.596  -67.152
53   83.591  153.862   71.851  152.948  -47.892
54   87.015  161.329   72.226  137.640  -48.814
55   81.975  151.332   83.162  139.166  -46.190
56   74.168  128.954   85.551  143.702  -33.505
57   73.783  135.075   75.043  143.256  -57.924
58 -175.343   75.459   68.029  134.453  -69.403
59   89.806  134.930   70.197  148.467  -71.646
60   73.659  134.847   81.002  150.764  -55.896
61   91.697  132.709   79.443  145.784  -62.149
62   76.967  139.945   73.724  149.612  -43.846
63   57.410  145.679   72.892  143.719  -54.262
64   72.771  129.830   64.034  159.355  -68.366
65   81.038  133.130   60.078  142.789  -53.013
66   68.572  123.018   63.455  151.760  -51.189
67   80.312  145.779   57.706  146.747  -67.189
68   67.118  135.071   72.695  154.330  -60.784
69   60.396  149.017   78.636  141.588  -56.324
